YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,AK,Alaska,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,22,22,,,19.7,24.5,Overall,Overall,,,,,"(64.84507995700051, -147.72205903599973)",,2,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,AL,Alabama,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,30.7,30.7,,,27.3,34.3,Overall,Overall,,,,,"(32.84057112200048, -86.63186076199969)",,1,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,AR,Arkansas,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,27.6,27.6,,,24.5,30.8,Overall,Overall,,,,,"(34.74865012400045, -92.27449074299966)",,5,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,AZ,Arizona,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,34.8,34.8,,,29.7,40.2,Overall,Overall,,,,,"(34.865970280000454, -111.76381127699972)",,4,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,CA,California,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,28.9,28.9,,,23.6,34.7,Overall,Overall,,,,,"(37.63864012300047, -120.99999953799971)",,6,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,CO,Colorado,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(38.843840757000464, -106.13361092099967)",,8,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,CT,Connecticut,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,30.2,30.2,,,27.2,33.4,Overall,Overall,,,,,"(41.56266102000046, -72.64984095199964)",,9,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,DC,District of Columbia,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,20.1,20.1,,,19.3,21,Overall,Overall,,,,,"(38.907192, -77.036871)",,11,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,FL,Florida,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,33,33,,,31.1,35,Overall,Overall,,,,,"(28.932040377000476, -81.92896053899966)",,12,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,GA,Georgia,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(32.83968109300048, -83.62758034599966)",,13,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,GU,Guam,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,25.3,25.3,,,21.8,29.2,Overall,Overall,,,,,"(13.444304, 144.793731)",,66,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,HI,Hawaii,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,25.1,25.1,,,23.2,27.2,Overall,Overall,,,,,"(21.304850435000446, -157.85774940299973)",,15,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,IA,Iowa,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,"(42.46940091300047, -93.81649055599968)",,19,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,ID,Idaho,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,28.3,28.3,,,24,33,Overall,Overall,,,,,"(43.682630005000476, -114.3637300419997)",,16,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,IL,Illinois,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,30.7,30.7,,,26.7,35.1,Overall,Overall,,,,,"(40.48501028300046, -88.99771017799969)",,17,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
2015,2015,IN,Indiana,YRBSS,Alcohol,Alcohol use among youth,,%,Crude Prevalence,30.5,30.5,,,26.3,35.2,Overall,Overall,,,,,"(39.766910452000445, -86.14996019399968)",,18,ALC,ALC1_1,CrdPrev,OVERALL,OVR,,,,
